DATE,ACTLISCOU42660
2016-07-01,6971
2016-08-01,7437
2016-09-01,7326
2016-10-01,6873
2016-11-01,5542
2016-12-01,4320
2017-01-01,3646
2017-02-01,3262
2017-03-01,3417
2017-04-01,3720
2017-05-01,4409
2017-06-01,5268
2017-07-01,5891
2017-08-01,6296
2017-09-01,6380
2017-10-01,6066
2017-11-01,4950
2017-12-01,3646
2018-01-01,3020
2018-02-01,3062
2018-03-01,3428
2018-04-01,4069
2018-05-01,4960
2018-06-01,6144
2018-07-01,7524
2018-08-01,8492
2018-09-01,9595
2018-10-01,9788
2018-11-01,8718
2018-12-01,7162
2019-01-01,5776
2019-02-01,5701
2019-03-01,5861
2019-04-01,6067
2019-05-01,7178
2019-06-01,7937
2019-07-01,7912
2019-08-01,8185
2019-09-01,8167
2019-10-01,8530
2019-11-01,6791
2019-12-01,4886
2020-01-01,3958
2020-02-01,3784
2020-03-01,4292
2020-04-01,4962
2020-05-01,5630
2020-06-01,5741
2020-07-01,5733
2020-08-01,5957
2020-09-01,6051
2020-10-01,5833
2020-11-01,4161
2020-12-01,3147
2021-01-01,2413
2021-02-01,2240
2021-03-01,2546
2021-04-01,2748
2021-05-01,2898
2021-06-01,3378
2021-07-01,3589
2021-08-01,3740