DATE,MEDDAYONMAR42660
2016-07-01,26
2016-08-01,29.5
2016-09-01,33.5
2016-10-01,37
2016-11-01,47
2016-12-01,52
2017-01-01,48
2017-02-01,31
2017-03-01,19.5
2017-04-01,17
2017-05-01,13
2017-06-01,16
2017-07-01,22
2017-08-01,24
2017-09-01,35
2017-10-01,35.5
2017-11-01,41.5
2017-12-01,50
2018-01-01,44.5
2018-02-01,26.5
2018-03-01,22
2018-04-01,23
2018-05-01,20.5
2018-06-01,23
2018-07-01,29
2018-08-01,30.5
2018-09-01,36
2018-10-01,37.5
2018-11-01,45
2018-12-01,59
2019-01-01,64
2019-02-01,45.5
2019-03-01,37
2019-04-01,27.5
2019-05-01,29
2019-06-01,34
2019-07-01,37.5
2019-08-01,41
2019-09-01,42.5
2019-10-01,43
2019-11-01,49
2019-12-01,62.5
2020-01-01,67
2020-02-01,38
2020-03-01,29.5
2020-04-01,31.5
2020-05-01,36
2020-06-01,35
2020-07-01,34.5
2020-08-01,33
2020-09-01,35
2020-10-01,35
2020-11-01,42.5
2020-12-01,50
2021-01-01,53
2021-02-01,25.5
2021-03-01,20
2021-04-01,21.5
2021-05-01,28
2021-06-01,26
2021-07-01,30
2021-08-01,28.5